Year,cumu_cap_mw
1953,50
1954,236
1955,236
1956,286
1957,286
1958,336
1959,538.5
1960,1612.5
1961,1912.5
1962,1912.5
1963,1962.5
1964,2062.5
1965,2662.5
1966,3097.5
1967,3497.5
1968,3757.5
1969,3907.5
1970,4789.5
1971,5071.5
1972,6183.5
1973,7725.5
1974,8755.5
1975,10660.5
1976,12175.5
1977,13975.5
1978,16768
1979,19340.5
1980,21300.5
1981,22690.5
1982,24005.5
1983,26185.5
1984,29070.5
1985,35105.5
1986,40210.5
1987,45855.5
1988,52705.5
1989,59777.5
1990,66780.5
1991,77169
1992,88897.5
1993,97260.5
1994,106188
1995,116061.75
1996,132336.35
1997,143461.35
1998,159447.15
1999,172501.15
2000,189645.15
2001,202968.15
2002,213661.15
2003,236452.15
2004,266219.15
2005,313165.15
2006,394835.15
2007,467310.15
2008,521157.25
2009,571945.35
2010,626222.35
2011,684029.35
2012,732198.35
2013,780647.35
2014,810827.25
2015,870745.5
2016,914355.5
2017,948801.5
2018,971568.5
2019,1013357.5
2020,1046545.5
2021,1082826.5
2022,1100276.5
2023,1114626.5
