Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years)
G110995,L100248,P104241,https://gem.wiki/Wuhu_Zhongdian_power_station,China,Anhui,Unit 11,Wuhu Zhongdian power station,中电国际芜湖发电厂三期,NA,"Wuhu Power Generation Co., Ltd.",CLP and WAN (Tianjin) Investment Partnership (Limited Partnership),125,retired,1993,2007,NA,unknown,unknown,NA,Siwan Road,Jiujiang,Wuhu,East Asia,31.45212,118.34447,exact,NA,NA,NA,NA,11187,96100,51.00%,0.6,0,0
G110996,L100248,P104241,https://gem.wiki/Wuhu_Zhongdian_power_station,China,Anhui,Unit 12,Wuhu Zhongdian power station,中电国际芜湖发电厂三期,NA,"Wuhu Power Generation Co., Ltd.",CLP and WAN (Tianjin) Investment Partnership (Limited Partnership),125,retired,1994,2007,NA,unknown,unknown,NA,Siwan Road,Jiujiang,Wuhu,East Asia,31.45212,118.34447,exact,NA,NA,NA,NA,11187,96100,51.00%,0.6,0,0
G110993,L100247,P104241,https://gem.wiki/Wuhu_Zhaoda_power_station,China,Anhui,Unit 13,Wuhu Zhaoda power station,中电国际芜湖发电厂四期（兆达发电公司）,Wuhu Zhongdian power station Unit 13,"Wuhu Power Generation Co., Ltd.",CLP and WAN (Tianjin) Investment Partnership (Limited Partnership),125,retired,1996,2010,NA,subcritical,bituminous,NA,Siwan Road,Jiujiang,Wuhu,East Asia,31.45212,118.34447,exact,NA,NA,NA,NA,11313,94600,51.00%,0.6,0,0
G110994,L100247,P104241,https://gem.wiki/Wuhu_Zhaoda_power_station,China,Anhui,Unit 14,Wuhu Zhaoda power station,中电国际芜湖发电厂四期（兆达发电公司）,Wuhu Zhongdian power station Unit 14,"Wuhu Power Generation Co., Ltd.",CLP and WAN (Tianjin) Investment Partnership (Limited Partnership),125,retired,1997,2010,NA,subcritical,bituminous,NA,Siwan Road,Jiujiang,Wuhu,East Asia,31.45212,118.34447,exact,NA,NA,NA,NA,11313,94600,51.00%,0.6,0,0
G109426,L100238,P103200,https://gem.wiki/Sinopec_Anqing_power_station,China,Anhui,Unit 2,Sinopec Anqing power station,中石化安庆石化热电部,NA,Anqing Branch of Sinopec,China Petroleum & Chemical Corporation,50,retired,1977,2008,NA,subcritical,unknown,NA,Shihua Road,Daguan,Anqing,East Asia,30.5138372,117.0198348,exact,NA,chemicals,CHP,NA,12618,96100,51.00%,0.3,0,0
G104088,L100216,Q201040,https://gem.wiki/Huadian_Lu'an_power_station,China,Anhui,Unit 1,Huadian Lu'an power station,华电国际安徽六安电厂,NA,"Anhui Huadian Lu'an Power Generation Co., Ltd.","China Huadian Group Corporation [72.8%]; Gd Power Development Co., Ltd. [22.6%]; other [4.6%]",135,retired,2006,2017,NA,subcritical,bituminous,NA,Chengnan Town Pangang Villege,Yu'an,Lu'an,East Asia,31.656523,116.491363,exact,NA,NA,NA,NA,11313,94600,51.00%,0.7,0,0
G104089,L100216,Q201040,https://gem.wiki/Huadian_Lu'an_power_station,China,Anhui,Unit 2,Huadian Lu'an power station,华电国际安徽六安电厂,NA,"Anhui Huadian Lu'an Power Generation Co., Ltd.","China Huadian Group Corporation [72.8%]; Gd Power Development Co., Ltd. [22.6%]; other [4.6%]",135,retired,2006,2017,NA,subcritical,bituminous,NA,Chengnan Town Pangang Villege,Yu'an,Lu'an,East Asia,31.656523,116.491363,exact,NA,NA,NA,NA,11313,94600,51.00%,0.7,0,0
G109760,L100239,Q201253,https://gem.wiki/Suzhou_Huiyuan_power_station,China,Anhui,Unit 3,Suzhou Huiyuan power station,国电宿州热电,汇源热电,"Guodian Suzhou Thermal Power Co., Ltd.","AN HUI Wenergy Company Limited [36.3%]; Gd Power Development Co., Ltd. [21.7%]; Wanbei Coal & Electrical Group Co., Ltd. [21.0%]; China Shenhua Energy Company Limited [16.0%]; Suzhou Industrial Investment Group Co., Ltd. [5.0%]",135,retired,1998,2012,NA,subcritical,unknown,NA,457 Huaihai Road,Yongqiao,Suzhou,East Asia,33.6544353,116.9830209,exact,NA,NA,NA,NA,11313,96100,51.00%,0.7,0,0
G109761,L100239,Q201253,https://gem.wiki/Suzhou_Huiyuan_power_station,China,Anhui,Unit 4,Suzhou Huiyuan power station,国电宿州热电,汇源热电,"Guodian Suzhou Thermal Power Co., Ltd.","AN HUI Wenergy Company Limited [36.3%]; Gd Power Development Co., Ltd. [21.7%]; Wanbei Coal & Electrical Group Co., Ltd. [21.0%]; China Shenhua Energy Company Limited [16.0%]; Suzhou Industrial Investment Group Co., Ltd. [5.0%]",135,retired,1999,2017,NA,subcritical,unknown,NA,457 Huaihai Road,Yongqiao,Suzhou,East Asia,33.6544353,116.9830209,exact,NA,NA,NA,NA,11313,96100,51.00%,0.7,0,0
G102062,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 1,Datang Huaibei power station,大唐淮北发电厂一期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",50,retired,1973,2007,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12618,94600,51.00%,0.3,0,0
G102064,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 2,Datang Huaibei power station,大唐淮北发电厂一期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",50,retired,1973,2007,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12618,94600,51.00%,0.3,0,0
G102067,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 5,Datang Huaibei power station,大唐淮北发电厂三期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",200,retired,1981,2008,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12183,94600,51.00%,1.1,0,0
G102068,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 6,Datang Huaibei power station,大唐淮北发电厂三期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",200,retired,1982,2008,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12183,94600,51.00%,1.1,0,0
G102065,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 3,Datang Huaibei power station,大唐淮北发电厂二期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",125,retired,1977,2007,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12618,94600,51.00%,0.7,0,0
G102066,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 4,Datang Huaibei power station,大唐淮北发电厂二期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",125,retired,1978,2007,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,12183,94600,51.00%,0.7,0,0
G102070,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 8,Datang Huaibei power station,大唐淮北发电厂五期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",210,retired,2005,2020,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,11313,94600,51.00%,1.1,0,0
G102069,L100209,P102834,https://gem.wiki/Datang_Huaibei_power_station,China,Anhui,Unit 7,Datang Huaibei power station,大唐淮北发电厂四期,NA,"Datang Huaibei Power Generation Co., Ltd.","Datang International Power Generation Co., Ltd.",200,retired,1993,2008,NA,subcritical,bituminous,NA,1 Jixi Road,Xiangshan District,Huaibei,East Asia,33.965662,116.776428,exact,NA,NA,NA,NA,11313,94600,51.00%,1,0,0
G101996,L100207,Q201037,https://gem.wiki/Datang_Anhui_Huainan_Tianjia'an_power_station,China,Anhui,Phase 2 Unit 1,Datang Anhui Huainan Tianjia'an power station,大唐淮南田家庵发电厂,NA,"Anhui Electric Power Co., Ltd.","China Datang Corporation [47.5%]; Gd Power Development Co., Ltd. [44.9%]; Anhui Kangyuan Electric Heating Co., Ltd. [3.2%]; Anhui Energy Investment Corporation [2.9%]; City Planning Commission [1.5%]",120,retired,1972,2007,NA,subcritical,unknown,NA,Dianchang Road,Tianjia'an,Huainan,East Asia,32.6699252,117.0253207,exact,NA,NA,NA,NA,12618,96100,51.00%,0.7,0,0
G101997,L100207,Q201037,https://gem.wiki/Datang_Anhui_Huainan_Tianjia'an_power_station,China,Anhui,Phase 2 Unit 2,Datang Anhui Huainan Tianjia'an power station,大唐淮南田家庵发电厂,NA,"Anhui Electric Power Co., Ltd.","China Datang Corporation [47.5%]; Gd Power Development Co., Ltd. [44.9%]; Anhui Kangyuan Electric Heating Co., Ltd. [3.2%]; Anhui Energy Investment Corporation [2.9%]; City Planning Commission [1.5%]",120,retired,1972,2007,NA,subcritical,unknown,NA,Dianchang Road,Tianjia'an,Huainan,East Asia,32.6699252,117.0253207,exact,NA,NA,NA,NA,12618,96100,51.00%,0.7,0,0
G101998,L100207,Q201037,https://gem.wiki/Datang_Anhui_Huainan_Tianjia'an_power_station,China,Anhui,Phase 2 Unit 3,Datang Anhui Huainan Tianjia'an power station,大唐淮南田家庵发电厂,NA,"Anhui Electric Power Co., Ltd.","China Datang Corporation [47.5%]; Gd Power Development Co., Ltd. [44.9%]; Anhui Kangyuan Electric Heating Co., Ltd. [3.2%]; Anhui Energy Investment Corporation [2.9%]; City Planning Commission [1.5%]",137.5,retired,1977,2007,NA,subcritical,unknown,NA,Dianchang Road,Tianjia'an,Huainan,East Asia,32.6699252,117.0253207,exact,NA,NA,NA,NA,12618,96100,51.00%,0.8,0,0
G101999,L100207,Q201037,https://gem.wiki/Datang_Anhui_Huainan_Tianjia'an_power_station,China,Anhui,Phase 2 Unit 4,Datang Anhui Huainan Tianjia'an power station,大唐淮南田家庵发电厂,NA,"Anhui Electric Power Co., Ltd.","China Datang Corporation [47.5%]; Gd Power Development Co., Ltd. [44.9%]; Anhui Kangyuan Electric Heating Co., Ltd. [3.2%]; Anhui Energy Investment Corporation [2.9%]; City Planning Commission [1.5%]",137.5,retired,1977,2007,NA,subcritical,unknown,NA,Dianchang Road,Tianjia'an,Huainan,East Asia,32.6699252,117.0253207,exact,NA,NA,NA,NA,12618,96100,51.00%,0.8,0,0
G103717,L100214,Q201752,https://gem.wiki/Hefei_power_station,China,Anhui,Unit 3,Hefei power station,皖能合肥发电厂,NA,Wenergy Hefei Power Company Limited,"AN HUI Wenergy Company Limited [51.0%]; Huaihe Energy Holding Group Co., Ltd. [36.3%]; China Development Bank [5.2%]; China Xinda Asset Management Inc.,Ltd. [3.6%]; other [2.6%]; China Construction Bank Corporation [1.2%]",125,retired,1987,2007,NA,subcritical,bituminous,NA,"Lindian Village, Luyang District",Feidong,Hefei,East Asia,31.913681,117.251775,exact,NA,NA,NA,NA,12183,94600,51.00%,0.7,0,0
G103718,L100214,Q201752,https://gem.wiki/Hefei_power_station,China,Anhui,Unit 4,Hefei power station,皖能合肥发电厂,NA,Wenergy Hefei Power Company Limited,"AN HUI Wenergy Company Limited [51.0%]; Huaihe Energy Holding Group Co., Ltd. [36.3%]; China Development Bank [5.2%]; China Xinda Asset Management Inc.,Ltd. [3.6%]; other [2.6%]; China Construction Bank Corporation [1.2%]",125,retired,1994,2010,NA,subcritical,bituminous,NA,"Lindian Village, Luyang District",Feidong,Hefei,East Asia,31.913681,117.251775,exact,NA,NA,NA,NA,11313,94600,51.00%,0.6,0,0
G110258,L100242,Q201752,https://gem.wiki/Tongling_Wanneng_power_station,China,Anhui,Phase 4 Unit 1,Tongling Wanneng power station,皖能铜陵发电厂,NA,"Wanneng Tongling Power Generation Co., Ltd.","AN HUI Wenergy Company Limited [51.0%]; Huaihe Energy Holding Group Co., Ltd. [36.3%]; China Development Bank [5.2%]; China Xinda Asset Management Inc.,Ltd. [3.6%]; other [2.6%]; China Construction Bank Corporation [1.2%]",125,retired,1989,2007,NA,subcritical,bituminous,NA,NA,Tongguanshan,Tongling,East Asia,30.88181,117.76439,exact,NA,NA,NA,NA,11313,94600,51.00%,0.6,0,0
